total,soft,upcard,optimal_actions,stand,hit,value
11,False,8,hit,-0.5105175154976173,0.2299821453239917,0.2299821453239917
11,False,9,hit,-0.5431496811311094,0.1582571184551257,0.1582571184551257
11,False,10,hit,-0.5404303339949851,0.11948223076371356,0.11948223076371356
12,False,1,hit,-0.6669507746855103,-0.35054034044008003,-0.35054034044008003
12,False,2,hit,-0.29278372720927737,-0.2533899859666381,-0.2533899859666381
12,False,3,hit,-0.25225022923571355,-0.23369089979808663,-0.23369089979808663
12,False,4,stand,-0.21106310899491437,-0.21353655324507698,-0.21106310899491437
12,False,5,stand,-0.16719266083547535,-0.19327116942628347,-0.16719266083547535
12,False,6,stand,-0.15369901583000453,-0.17052619990757956,-0.15369901583000453
12,False,7,hit,-0.47537518327693334,-0.2128477145173143,-0.2128477145173143
12,False,8,hit,-0.5105175154976173,-0.27157480502428616,-0.27157480502428616
12,False,9,hit,-0.5431496811311094,-0.3400132806089356,-0.3400132806089356
12,False,10,hit,-0.5404303339949851,-0.38104299284808774,-0.38104299284808774
13,False,1,hit,-0.6669507746855103,-0.39693031612293145,-0.39693031612293145
13,False,2,stand,-0.29278372720927737,-0.30779123771977057,-0.29278372720927737
13,False,3,stand,-0.25225022923571355,-0.29121011293380095,-0.25225022923571355
13,False,4,stand,-0.21106310899491437,-0.2742240063993143,-0.21106310899491437
13,False,5,stand,-0.16719266083547535,-0.2573332724389392,-0.16719266083547535
13,False,6,stand,-0.15369901583000453,-0.23562627561296381,-0.15369901583000453
13,False,7,hit,-0.47537518327693334,-0.2690728777660775,-0.2690728777660775
13,False,8,hit,-0.5105175154976173,-0.32360517609398004,-0.32360517609398004
13,False,9,hit,-0.5431496811311094,-0.38715518913686875,-0.38715518913686875
13,False,10,hit,-0.5404303339949851,-0.4252542076446529,-0.4252542076446529
14,False,1,hit,-0.6669507746855103,-0.44000672211415065,-0.44000672211415065
14,False,2,stand,-0.29278372720927737,-0.3621924894729031,-0.29278372720927737
14,False,3,stand,-0.25225022923571355,-0.3487293260695153,-0.25225022923571355
14,False,4,stand,-0.21106310899491437,-0.33491145955355167,-0.21106310899491437
14,False,5,stand,-0.16719266083547535,-0.32139537545159497,-0.16719266083547535
14,False,6,stand,-0.15369901583000453,-0.3007263513183481,-0.15369901583000453
14,False,7,hit,-0.47537518327693334,-0.32128195792564346,-0.32128195792564346
14,False,8,hit,-0.5105175154976173,-0.37191909208726714,-0.37191909208726714
14,False,9,hit,-0.5431496811311094,-0.4309298184842353,-0.4309298184842353
14,False,10,hit,-0.5404303339949851,-0.4663074785271777,-0.4663074785271777
15,False,1,hit,-0.6669507746855103,-0.4800062419631399,-0.4800062419631399
15,False,2,stand,-0.29278372720927737,-0.4165937412260356,-0.29278372720927737
15,False,3,stand,-0.25225022923571355,-0.40624853920522963,-0.25225022923571355
15,False,4,stand,-0.21106310899491437,-0.3955989127077891,-0.21106310899491437
15,False,5,stand,-0.16719266083547535,-0.3854574784642507,-0.16719266083547535
15,False,6,stand,-0.15369901583000453,-0.36582642702373236,-0.15369901583000453
15,False,7,hit,-0.47537518327693334,-0.36976181807381175,-0.36976181807381175
15,False,8,hit,-0.5105175154976173,-0.41678201408103377,-0.41678201408103377
15,False,9,hit,-0.5431496811311094,-0.4715776885925042,-0.4715776885925042
15,False,10,hit,-0.5404303339949851,-0.5044283729180936,-0.5044283729180936
16,False,1,hit,-0.6669507746855103,-0.5171486532514871,-0.5171486532514871
16,False,2,stand,-0.29278372720927737,-0.47099499297916814,-0.29278372720927737
16,False,3,stand,-0.25225022923571355,-0.463767752340944,-0.25225022923571355
