cards,upcard,total,soft,natural,optimal_actions,deal_probability,pre_value,post_value,pre_stand,pre_hit,pre_double,pre_split,post_stand,post_hit,post_double,post_split
"1,1",1,12,True,False,split,0.0004551661356395084,-0.23218869092216365,0.10906077977909696,-0.769427459397661,-0.32186929994955454,-0.7399627006837957,-0.23218869092216365,-0.6669507746855103,-0.020477877704912124,-0.6243905676543714,0.10906077977909696
"1,1",2,12,True,False,split,0.0004551661356395084,0.47064092333946883,0.47064092333946883,-0.29278372720927737,0.08183621605165603,-0.07156995790821606,0.47064092333946883,-0.29278372720927737,0.08183621605165603,-0.07156995790821606,0.47064092333946883
"1,1",3,12,True,False,split,0.0004551661356395084,0.5177952531222166,0.5177952531222166,-0.25225022923571355,0.10350704654207775,-0.00722809451045851,0.5177952531222166,-0.25225022923571355,0.10350704654207775,-0.00722809451045851,0.5177952531222166
"1,1",4,12,True,False,split,0.0004551661356395084,0.5660405504179759,0.5660405504179759,-0.21106310899491437,0.12659562809256975,0.05842651874374489,0.5660405504179759,-0.21106310899491437,0.12659562809256975,0.05842651874374489,0.5660405504179759
"1,1",5,12,True,False,split,0.0004551661356395084,0.6146990179090277,0.6146990179090277,-0.16719266083547535,0.15648238458465502,0.12595448524867897,0.6146990179090277,-0.16719266083547535,0.15648238458465502,0.12595448524867897,0.6146990179090277
"1,1",6,12,True,False,split,0.0004551661356395084,0.6673800949075693,0.6673800949075693,-0.15369901583000453,0.18595361333225544,0.17974820582791504,0.6673800949075693,-0.15369901583000453,0.18595361333225544,0.17974820582791504,0.6673800949075693
"1,1",7,12,True,False,split,0.0004551661356395084,0.4628889488642907,0.4628889488642907,-0.47537518327693334,0.16547293077063494,-0.1838655800163816,0.4628889488642907,-0.47537518327693334,0.16547293077063494,-0.1838655800163816,0.4628889488642907
"1,1",8,12,True,False,split,0.0004551661356395084,0.3506925908703149,0.3506925908703149,-0.5105175154976173,0.09511502092703224,-0.31444090236733896,0.3506925908703149,-0.5105175154976173,0.09511502092703224,-0.31444090236733896,0.3506925908703149
"1,1",9,12,True,False,split,0.0004551661356395084,0.22778342315245476,0.22778342315245476,-0.5431496811311094,6.57908412268582e-05,-0.4563669632837084,0.22778342315245476,-0.5431496811311094,6.57908412268582e-05,-0.4563669632837084,0.22778342315245476
"1,1",10,12,True,False,split,0.0018206645425580337,0.08894344068721177,0.17968872741114608,-0.5757818467646016,-0.14154067448427515,-0.5514109122292086,0.08894344068721177,-0.5404303339949851,-0.07000239735796475,-0.5140284882483093,0.17968872741114608
"1,2",1,13,True,False,hit,0.0009103322712790169,-0.3473671092308686,-0.05730804666681024,-0.769427459397661,-0.3473671092308686,-0.7399627006837957,,-0.6669507746855103,-0.05730804666681024,-0.6243905676543714,
"1,2",2,13,True,False,hit,0.0009103322712790169,0.046636132695309515,0.046636132695309515,-0.29278372720927737,0.046636132695309515,-0.07156995790821606,,-0.29278372720927737,0.046636132695309515,-0.07156995790821606,
"1,2",3,13,True,False,hit,0.0009103322712790169,0.07411881339274402,0.07411881339274402,-0.25225022923571355,0.07411881339274402,-0.00722809451045851,,-0.25225022923571355,0.07411881339274402,-0.00722809451045851,
"1,2",4,13,True,False,hit,0.0009103322712790169,0.10247714687203516,0.10247714687203516,-0.21106310899491437,0.10247714687203516,0.05842651874374489,,-0.21106310899491437,0.10247714687203516,0.05842651874374489,
