split_card,drawn_card,upcard,optimal_actions,stand,hit,double,value
3,1,6,double,-0.15369901583000453,0.13916473074357677,0.17974820582791504,0.17974820582791504
3,1,7,hit,-0.47537518327693334,0.07950748849446812,-0.1838655800163816,0.07950748849446812
3,1,8,hit,-0.5105175154976173,0.013277219463208409,-0.31444090236733896,0.013277219463208409
3,1,9,hit,-0.5431496811311094,-0.07516318944168386,-0.4563669632837084,-0.07516318944168386
3,1,10,hit,-0.5404303339949851,-0.13946678217545458,-0.5140284882483093,-0.13946678217545458
3,2,1,hit,-0.6669507746855103,-0.2785745975518197,-1.3339015493710207,-0.2785745975518197
3,2,2,hit,-0.29278372720927737,-0.1282155670637475,-0.5855674544185547,-0.1282155670637475
3,2,3,hit,-0.25225022923571355,-0.09531022726148991,-0.5045004584714271,-0.09531022726148991
3,2,4,hit,-0.21106310899491437,-0.06147946419969426,-0.42212621798982874,-0.06147946419969426
3,2,5,hit,-0.16719266083547535,-0.02397897039185975,-0.3343853216709507,-0.02397897039185975
3,2,6,hit,-0.15369901583000453,-0.0011863378384402046,-0.30739803166000906,-0.0011863378384402046
3,2,7,hit,-0.47537518327693334,-0.11944744188414855,-0.9507503665538667,-0.11944744188414855
3,2,8,hit,-0.5105175154976173,-0.18809330390318527,-1.0210350309952345,-0.18809330390318527
3,2,9,hit,-0.5431496811311094,-0.26661505335795904,-1.0862993622622188,-0.26661505335795904
3,2,10,hit,-0.5404303339949851,-0.3134116433649711,-1.0808606679899702,-0.3134116433649711
3,3,1,hit,-0.6669507746855103,-0.30414663097569933,-1.304837349418594,-0.30414663097569933
3,3,2,hit,-0.29278372720927737,-0.14075911746001993,-0.5640583560296724,-0.14075911746001993
3,3,3,hit,-0.25225022923571355,-0.1072910780086084,-0.48372599880817485,-0.1072910780086084
3,3,4,hit,-0.21106310899491437,-0.07291714192638732,-0.40205087401296746,-0.07291714192638732
3,3,5,hit,-0.16719266083547535,-0.03491597333010231,-0.3155774316293275,-0.03491597333010231
